Area,Year,Yield,Avg_Temp,Max_Temp,Min_Temp,Total_Rainfall,Extreme_Rain,Extreme_Heat
Region A,2000,4.27,21.243561663863076,30.997133195912657,12.583591954806051,890.9670328317181,85.17810914068109,8.119890406724053
Region A,2001,4.83,16.813170570354792,26.144051299229467,8.807595511638748,975.215884902955,80.02470337423249,24.398197043239886
Region A,2002,4.84,27.654196971205906,33.71589252459729,21.745072135170403,571.221472587144,63.0766880116278,15.495128632644757
Region A,2003,4.19,22.047230260989622,28.50337596197983,13.987965787377725,537.4102727020722,58.692975339942045,12.327236865873834
Region A,2004,5.09,22.384979779038503,31.31085958600357,16.386610868246706,825.9605175784809,115.00794579811098,5.929008254399955
Region A,2005,4.76,24.505627926620136,30.358248545056593,19.18036996169374,1160.6418636850667,204.92664534497098,21.16794696232922
Region A,2006,4.68,20.26459276842719,25.752953338459108,11.843427635866405,768.917420179493,70.89712608437009,14.903538202225404
Region A,2007,4.98,16.481439295613058,26.02804130600697,10.187539387612972,940.1421589525661,104.51664512061794,15.401360423556216
Region A,2008,5.07,23.653943910805914,29.57821618843355,13.806020771983121,1026.8522739880582,178.6208443745008,22.896547008552975
Region A,2009,4.76,24.37059970335519,33.97997087847077,18.928137193095594,580.9068040627418,49.09982831076364,11.506606615265287
Region A,2010,4.57,21.44148205565275,27.798227214522228,12.297794509893102,704.7000615540637,76.17346155126089,15.85392166316497
Region A,2011,5.61,17.972939149646677,26.983924053416878,12.600185931247823,1189.9029411823983,187.08186752447338,8.974313630683447
Region A,2012,4.72,16.077309639730434,25.154616782004602,7.543022920492348,991.3355193915602,155.76561052364687,6.480893034681808
Region A,2013,5.21,21.018520199619815,26.597865497245465,11.703003070241847,909.9395576572197,102.9048848489843,6.271167005720473
Region A,2014,5.01,20.35375250401927,26.979669114153005,11.705721612328949,920.919252943514,155.3786698450168,14.444298503238986
Region A,2015,4.78,17.674319443136223,26.2405433792512,8.870394200051736,862.1834421285121,135.4461890684145,14.875911927287815
Region A,2016,4.74,23.318259611347916,30.455964703140666,18.19116397762744,513.0763987848444,42.65866924367653,17.72820822527561
Region A,2017,4.61,20.40098373506857,27.943837190892086,10.863151365438107,621.9550164446337,75.28037308009289,20.111022770860973
Region A,2018,4.38,19.203174316882716,24.588073866026683,12.754417052313876,554.1403911855834,95.84953337018987,21.16240759128834
Region A,2019,4.88,24.867652591145927,34.224955542084516,15.849292206650354,573.6589453422475,97.09516100032914,15.786844838313014
Region A,2020,4.74,27.304162172296877,36.784618671914345,20.71414479743756,514.739981886311,52.911932694714125,13.542155772525126
Region B,2000,5.24,21.243561663863076,30.997133195912657,12.583591954806051,890.9670328317181,85.17810914068109,8.119890406724053
Region B,2001,5.16,16.813170570354792,26.144051299229467,8.807595511638748,975.215884902955,80.02470337423249,24.398197043239886
